State,LGA,Ward,PU-Code,PU-Name,Full Address,Latitude,Longitude,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OYO,AFIJIO,ILORA I,30-01-01-003,BODE OPEN SPACE II,OYO AFIJIO ILORA I 30-01-01-003 BODE OPEN SPACE II,7.8055739,3.8706208,251,778,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,127,24,66,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24721/pu/100045/100045-1677597046.pdf
OYO,AFIJIO,ILORA I,30-01-01-004,BODE OPEN SPACE II,OYO AFIJIO ILORA I 30-01-01-004 BODE OPEN SPACE II,7.8055739,3.8706208,251,778,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,138,12,45,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24721/pu/100045/100045-1677597046.pdf
OYO,AFIJIO,ILORA II,30-01-02-001,AKINDELE OPEN SPACE I,OYO AFIJIO ILORA II 30-01-02-001 AKINDELE OPEN SPACE I,7.7625429,3.8299106,167,471,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,104,8,43,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98950/result_84966_1677514561_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-002,AKINDELE OPEN SPACE II,OYO AFIJIO ILORA II 30-01-02-002 AKINDELE OPEN SPACE II,7.7625429,3.8299106,209,603,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,110,18,49,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98951/result_84967_1677514644_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-003,AKINDELE OPEN SPACE II,OYO AFIJIO ILORA II 30-01-02-003 AKINDELE OPEN SPACE II,7.7625429,3.8299106,209,603,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,132,11,59,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98951/result_84967_1677514644_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-004,BAPTIST GRAMMAR SCHOOL I,OYO AFIJIO ILORA II 30-01-02-004 BAPTIST GRAMMAR SCHOOL I,7.7625429,3.8299106,285,762,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,133,69,44,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98953/result_84969_1677512700_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-005,BAPTIST GRAMMAR SCHOOL I,OYO AFIJIO ILORA II 30-01-02-005 BAPTIST GRAMMAR SCHOOL I,7.7625429,3.8299106,285,762,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,113,51,73,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98953/result_84969_1677512700_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-006,BAPTIST GRAMMAR SCHOOL I,OYO AFIJIO ILORA II 30-01-02-006 BAPTIST GRAMMAR SCHOOL I,7.7625429,3.8299106,285,762,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98953/result_84969_1677512700_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-007,ELEKAARA MARKET O/SPACE,OYO AFIJIO ILORA II 30-01-02-007 ELEKAARA MARKET O/SPACE,7.7883364,3.9189515,291,1046,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,159,49,45,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98956/result_84972_1677514784_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-009,MAFIKUYOMI OPEN SPACE I,OYO AFIJIO ILORA II 30-01-02-009 MAFIKUYOMI OPEN SPACE I,7.7078582,3.8496653,225,647,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,121,30,39,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98958/result_84974_1677515092_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-010,MAFIKUYOMI OPEN SPACE I,OYO AFIJIO ILORA II 30-01-02-010 MAFIKUYOMI OPEN SPACE I,7.7078582,3.8496653,225,647,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,134,27,39,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98958/result_84974_1677515092_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-011,ONIKOOKO OPEN SPACE,OYO AFIJIO ILORA II 30-01-02-011 ONIKOOKO OPEN SPACE,7.7625429,3.8299106,129,402,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,72,1,28,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98960/result_84976_1677512889_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-012,OBANISOLA OPEN SPACE,OYO AFIJIO ILORA II 30-01-02-012 OBANISOLA OPEN SPACE,7.7625429,3.8299106,247,634,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,126,55,40,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98961/result_84977_1677514955_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-013,OJA OKE OPEN SPACE I,OYO AFIJIO ILORA II 30-01-02-013 OJA OKE OPEN SPACE I,7.7625429,3.8299106,211,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,119,16,40,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98962/result_84978_1677513107_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-014,OJA OKE OPEN SPACE II,OYO AFIJIO ILORA II 30-01-02-014 OJA OKE OPEN SPACE II,7.7625429,3.8299106,251,901,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,145,30,49,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98963/result_84979_1677513730_thumb.jpg
OYO,AFIJIO,ILORA II,30-01-02-015,TOWN HALL,OYO AFIJIO ILORA II 30-01-02-015 TOWN HALL,7.7625429,3.8299106,139,327,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,76,2,28,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/98964/result_84980_1677513905_thumb.jpg
OYO,AFIJIO,ILORA III,30-01-03-001,ARIBOMBO OPEN SPACE,OYO AFIJIO ILORA III 30-01-03-001 ARIBOMBO OPEN SPACE,7.7352037,3.8553507,176,509,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24723/pu/100066/100066-1677585499.pdf
OYO,AFIJIO,ILORA III,30-01-03-002,ATENTE OPEN SPACE,OYO AFIJIO ILORA III 30-01-03-002 ATENTE OPEN SPACE,7.6734511,3.8302285,170,481,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,107,4,39,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24723/pu/100067/100067-1677586488.pdf
OYO,AFIJIO,ILORA III,30-01-03-003,ATENTE OPEN SPACE,OYO AFIJIO ILORA III 30-01-03-003 ATENTE OPEN SPACE,7.6734511,3.8302285,170,481,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,136,12,44,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24723/pu/100067/100067-1677586488.pdf
OYO,AFIJIO,ILORA III,30-01-03-004,FARM SETTLEMENT,OYO AFIJIO ILORA III 30-01-03-004 FARM SETTLEMENT,7.7957198,3.8191965,151,490,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,65,3,47,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24723/pu/100069/100069-1677588515.pdf
OYO,AFIJIO,ILORA III,30-01-03-005,IBUKUN OLU OPEN SPACE,OYO AFIJIO ILORA III 30-01-03-005 IBUKUN OLU OPEN SPACE,7.7177966,3.8744788,238,646,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,130,3,76,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24723/pu/100070/100070-1677589296.pdf
OYO,AFIJIO,FIDITI I,30-01-04-001,"EBENEZER PRY. SCHOOL, FIDITI","OYO AFIJIO FIDITI I 30-01-04-001 EBENEZER PRY. SCHOOL, FIDITI",7.7102381,3.9190062,177,359,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,74,13,62,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3734/ward/24724/pu/100072/100072-1677455568.pdf
